PUMFID,WGHT_PER,PRV,HAP_10C,TTLINCG1,PRA_10GR,AGEGR10,predicted_probability_raw,predicted_probability,predicted_label,risk_band
4.0,165.3536,47,4.0,1.0,,6.0,0.8655384,0.8655384,1,Very high
6.0,4302.0692,35,1.0,3.0,,1.0,0.6363443,0.6363443,0,High
9.0,1402.6938,48,3.0,1.0,,4.0,0.9043933,0.9043933,1,Very high
11.0,970.1378,35,3.0,7.0,,5.0,0.73380446,0.73380446,1,Very high
14.0,189.2808,11,1.0,2.0,,3.0,0.44471803,0.44471803,0,Moderate
15.0,1254.4845,35,1.0,4.0,,3.0,0.85670215,0.85670215,1,Very high
16.0,336.0888,12,1.0,2.0,,4.0,0.8276017,0.8276017,1,Very high
19.0,535.2547,35,2.0,3.0,,7.0,0.7688965,0.7688965,1,Very high
25.0,741.7658,48,1.0,7.0,,5.0,0.6104585,0.6104585,0,High
26.0,1725.8681,24,2.0,1.0,,6.0,0.78820515,0.78820515,1,Very high
31.0,1954.3713,24,2.0,3.0,9,2.0,0.7319534,0.7319534,1,Very high
32.0,526.1752,12,6.0,1.0,,4.0,0.9205739,0.9205739,1,Very high
36.0,203.6167,13,1.0,2.0,,6.0,0.5442965,0.5442965,0,High
41.0,1350.0844,35,1.0,2.0,,3.0,0.5366334,0.5366334,0,High
48.0,2519.2392,35,1.0,1.0,,3.0,0.6760526,0.6760526,1,High
50.0,560.2604,59,1.0,2.0,,5.0,0.41040838,0.41040838,0,Moderate
53.0,151.1451,12,6.0,2.0,,3.0,0.943256,0.943256,1,Very high
55.0,433.8261,59,1.0,6.0,,4.0,0.720393,0.720393,1,Very high
57.0,63.7972,47,1.0,3.0,3,5.0,0.55929244,0.55929244,0,High
63.0,855.3997,59,2.0,3.0,,5.0,0.6704327,0.6704327,1,High
66.0,2544.4379,59,1.0,1.0,4,5.0,0.67713255,0.67713255,1,High
68.0,12456.759,35,6.0,2.0,,5.0,0.77579784,0.77579784,1,Very high
