variable_name,label,code,frequency,weighted_frequency,percent
DV_PROXY,Y es,1,376,595685,1.9
DV_PROXY,No,2,19882,30159500,98.1
DV_PROXY,Valid skip,6,0,0,0
DV_PROXY,Don't know,7,0,0,0
DV_PROXY,Refusal,8,0,0,0
DV_PROXY,Not stated,9,0,0,0
AGEGR10,15 to 24 years,01,996,4444824,14.5
AGEGR10,25 to 34 years,02,2070,5175347,16.8
AGEGR10,35 to 44 years,03,2928,4926392,16.0
AGEGR10,45 to 54 years,04,3331,4892911,15.9
AGEGR10,55 to 64 years,05,4569,5121857,16.7
AGEGR10,65 to 74 years,06,3733,3650222,11.9
AGEGR10,75 years and over,07,2631,2543631,8.3
AGEGR10,Valid skip,96,0,0,0
AGEGR10,Don't know,97,0,0,0
AGEGR10,Refusal,98,0,0,0
AGEGR10,Not stated,99,0,0,0
SEX,Male,1,8835,15185228,49.4
SEX,Female,2,11423,15569957,50.6
SEX,Valid skip,6,0,0,0
SEX,Don't know,7,0,0,0
SEX,Refusal,8,0,0,0
SEX,Not stated,9,0,0,0
MARSTAT,Married,01,9900,14902311,48.5
MARSTAT,Living common law,02,2018,3895326,12.7
MARSTAT,Widowed,03,1951,1438553,4.7
MARSTAT,Separated,04,628,632656,2.1
MARSTAT,Divorced,05,1802,1530648,5.0
MARSTAT,"Single, never married",06,3925,8320155,27.1
MARSTAT,Valid skip,96,0,0,0
MARSTAT,Don't know,97,0,0,0
MARSTAT,Refusal,98,0,0,0
MARSTAT,Not stated,99,34,35536,0.1
PHSDFLG,Y es,1,11625,18462398,60.0
PHSDFLG,No,2,8633,12292787,40.0
PHSDFLG,Valid skip,6,0,0,0
PHSDFLG,Don't know,7,0,0,0
PHSDFLG,Refusal,8,0,0,0
PHSDFLG,Not stated,9,0,0,0
AGEPRGR0,15 to 24 years,01,105,302740,1.0
AGEPRGR0,25 to 34 years,02,1269,3029901,9.9
AGEPRGR0,35 to 44 years,03,1877,3615213,11.8
AGEPRGR0,45 to 54 years,04,2100,3692293,12.0
AGEPRGR0,55 to 64 years,05,2938,3826130,12.4
AGEPRGR0,65 to 74 years,06,2256,2617678,8.5
AGEPRGR0,75 years and over,07,1078,1371596,4.5
AGEPRGR0,Valid skip,96,8633,12292787,40.0
AGEPRGR0,Don't know,97,0,0,0
AGEPRGR0,Refusal,98,0,0,0
