variable_name,length,position,question_name,concept,question_text,universe,note,source,answer_categories_json
PUMFID,5.0,1,,Record identification,,All respondents,,"General Social Survey, Caregiving and Care Receiving, 2018.",[]
WGHT_PER,10.4,6,,Person weight - General,,All respondents,"See User's Guide, section on Estimation.","General Social Survey, Caregiving and Care Receiving, 2018.",[]
DV_PROXY,1.0,16,,Proxy interview,,All respondent,,"General Social Survey, Caregiving and Care Receiving, 2018.","[{""variable_name"": ""DV_PROXY"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""376"", ""weighted_frequency"": ""595685"", ""percent"": ""1.9""}, {""variable_name"": ""DV_PROXY"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""19882"", ""weighted_frequency"": ""30159500"", ""percent"": ""98.1""}, {""variable_name"": ""DV_PROXY"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""DV_PROXY"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""DV_PROXY"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""DV_PROXY"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}]"
AGEGR10,2.0,17,,Age group of the respondent (groups of 10),,All respondents,,"General Social Survey, Caregiving and Care Receiving, 2018, derived from AGE.","[{""variable_name"": ""AGEGR10"", ""label"": ""15 to 24 years"", ""code"": ""01"", ""frequency"": ""996"", ""weighted_frequency"": ""4444824"", ""percent"": ""14.5""}, {""variable_name"": ""AGEGR10"", ""label"": ""25 to 34 years"", ""code"": ""02"", ""frequency"": ""2070"", ""weighted_frequency"": ""5175347"", ""percent"": ""16.8""}, {""variable_name"": ""AGEGR10"", ""label"": ""35 to 44 years"", ""code"": ""03"", ""frequency"": ""2928"", ""weighted_frequency"": ""4926392"", ""percent"": ""16.0""}, {""variable_name"": ""AGEGR10"", ""label"": ""45 to 54 years"", ""code"": ""04"", ""frequency"": ""3331"", ""weighted_frequency"": ""4892911"", ""percent"": ""15.9""}, {""variable_name"": ""AGEGR10"", ""label"": ""55 to 64 years"", ""code"": ""05"", ""frequency"": ""4569"", ""weighted_frequency"": ""5121857"", ""percent"": ""16.7""}, {""variable_name"": ""AGEGR10"", ""label"": ""65 to 74 years"", ""code"": ""06"", ""frequency"": ""3733"", ""weighted_frequency"": ""3650222"", ""percent"": ""11.9""}, {""variable_name"": ""AGEGR10"", ""label"": ""75 years and over"", ""code"": ""07"", ""frequency"": ""2631"", ""weighted_frequency"": ""2543631"", ""percent"": ""8.3""}, {""variable_name"": ""AGEGR10"", ""label"": ""Valid skip"", ""code"": ""96"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""AGEGR10"", ""label"": ""Don't know"", ""code"": ""97"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""AGEGR10"", ""label"": ""Refusal"", ""code"": ""98"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""AGEGR10"", ""label"": ""Not stated"", ""code"": ""99"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}]"
SEX,1.0,19,,Sex of respondent,,All respondents,,"General Social Survey, Caregiving and Care Receiving 2018, derived variable from the
household roster.","[{""variable_name"": ""SEX"", ""label"": ""Male"", ""code"": ""1"", ""frequency"": ""8835"", ""weighted_frequency"": ""15185228"", ""percent"": ""49.4""}, {""variable_name"": ""SEX"", ""label"": ""Female"", ""code"": ""2"", ""frequency"": ""11423"", ""weighted_frequency"": ""15569957"", ""percent"": ""50.6""}, {""variable_name"": ""SEX"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""SEX"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""SEX"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""SEX"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}]"
MARSTAT,2.0,20,,Marital status of the respondent,,All respondents,,"General Social Survey, Caregiving and Care Receiving, 2018, derived from the house-
hold roster.","[{""variable_name"": ""MARSTAT"", ""label"": ""Married"", ""code"": ""01"", ""frequency"": ""9900"", ""weighted_frequency"": ""14902311"", ""percent"": ""48.5""}, {""variable_name"": ""MARSTAT"", ""label"": ""Living common law"", ""code"": ""02"", ""frequency"": ""2018"", ""weighted_frequency"": ""3895326"", ""percent"": ""12.7""}, {""variable_name"": ""MARSTAT"", ""label"": ""Widowed"", ""code"": ""03"", ""frequency"": ""1951"", ""weighted_frequency"": ""1438553"", ""percent"": ""4.7""}, {""variable_name"": ""MARSTAT"", ""label"": ""Separated"", ""code"": ""04"", ""frequency"": ""628"", ""weighted_frequency"": ""632656"", ""percent"": ""2.1""}, {""variable_name"": ""MARSTAT"", ""label"": ""Divorced"", ""code"": ""05"", ""frequency"": ""1802"", ""weighted_frequency"": ""1530648"", ""percent"": ""5.0""}, {""variable_name"": ""MARSTAT"", ""label"": ""Single, never married"", ""code"": ""06"", ""frequency"": ""3925"", ""weighted_frequency"": ""8320155"", ""percent"": ""27.1""}, {""variable_name"": ""MARSTAT"", ""label"": ""Valid skip"", ""code"": ""96"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""MARSTAT"", ""label"": ""Don't know"", ""code"": ""97"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""MARSTAT"", ""label"": ""Refusal"", ""code"": ""98"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""MARSTAT"", ""label"": ""Not stated"", ""code"": ""99"", ""frequency"": ""34"", ""weighted_frequency"": ""35536"", ""percent"": ""0.1""}]"
PHSDFLG,1.0,22,,Respondent has a spouse/partner living in the household,,All respondents,"This derived variable identifies respondents who declared having a spouse/partner living
in the household at RSR_05. In less than 1% of cases, respondents, who reported be-
ing widowed, separated, divorced, or single (never married) at (MARSTAT) MSNC_01
and reported that someone in the household was their husband/wife (RSR_05 = 01)
or common-law partner (RSR_05 = 02), for these cases, there is information for a
spouse/partner at PHSDFLG, although the respondent's marital status (MARSTAT) is
not married or common-law.","General Social Survey, Caregiving and Care Receiving, 2018, derived from the house-
hold roster.","[{""variable_name"": ""PHSDFLG"", ""label"": ""Y es"", ""code"": ""1"", ""frequency"": ""11625"", ""weighted_frequency"": ""18462398"", ""percent"": ""60.0""}, {""variable_name"": ""PHSDFLG"", ""label"": ""No"", ""code"": ""2"", ""frequency"": ""8633"", ""weighted_frequency"": ""12292787"", ""percent"": ""40.0""}, {""variable_name"": ""PHSDFLG"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""PHSDFLG"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""PHSDFLG"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""PHSDFLG"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}]"
AGEPRGR0,2.0,23,,Age group of respondent's spouse/partner (groups of 10),,PHSDFLG = 1,,"General Social Survey, Caregiving and Care Receiving, 2018, derived from the house-
hold roster.","[{""variable_name"": ""AGEPRGR0"", ""label"": ""15 to 24 years"", ""code"": ""01"", ""frequency"": ""105"", ""weighted_frequency"": ""302740"", ""percent"": ""1.0""}, {""variable_name"": ""AGEPRGR0"", ""label"": ""25 to 34 years"", ""code"": ""02"", ""frequency"": ""1269"", ""weighted_frequency"": ""3029901"", ""percent"": ""9.9""}, {""variable_name"": ""AGEPRGR0"", ""label"": ""35 to 44 years"", ""code"": ""03"", ""frequency"": ""1877"", ""weighted_frequency"": ""3615213"", ""percent"": ""11.8""}, {""variable_name"": ""AGEPRGR0"", ""label"": ""45 to 54 years"", ""code"": ""04"", ""frequency"": ""2100"", ""weighted_frequency"": ""3692293"", ""percent"": ""12.0""}, {""variable_name"": ""AGEPRGR0"", ""label"": ""55 to 64 years"", ""code"": ""05"", ""frequency"": ""2938"", ""weighted_frequency"": ""3826130"", ""percent"": ""12.4""}, {""variable_name"": ""AGEPRGR0"", ""label"": ""65 to 74 years"", ""code"": ""06"", ""frequency"": ""2256"", ""weighted_frequency"": ""2617678"", ""percent"": ""8.5""}, {""variable_name"": ""AGEPRGR0"", ""label"": ""75 years and over"", ""code"": ""07"", ""frequency"": ""1078"", ""weighted_frequency"": ""1371596"", ""percent"": ""4.5""}, {""variable_name"": ""AGEPRGR0"", ""label"": ""Valid skip"", ""code"": ""96"", ""frequency"": ""8633"", ""weighted_frequency"": ""12292787"", ""percent"": ""40.0""}, {""variable_name"": ""AGEPRGR0"", ""label"": ""Don't know"", ""code"": ""97"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""AGEPRGR0"", ""label"": ""Refusal"", ""code"": ""98"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""AGEPRGR0"", ""label"": ""Not stated"", ""code"": ""99"", ""frequency"": ""2"", ""weighted_frequency"": ""6847"", ""percent"": ""0.0""}]"
SEXPR,1.0,25,,Sex of respondent's spouse/partner living in the household,,PHSDFLG = 1,,"General Social Survey, Caregiving and Care Receiving, 2018, derived from the house-
hold roster.","[{""variable_name"": ""SEXPR"", ""label"": ""Male spouse/partner in the household"", ""code"": ""1"", ""frequency"": ""6076"", ""weighted_frequency"": ""9076909"", ""percent"": ""29.5""}, {""variable_name"": ""SEXPR"", ""label"": ""Female spouse/partner in the household"", ""code"": ""2"", ""frequency"": ""5549"", ""weighted_frequency"": ""9385489"", ""percent"": ""30.5""}, {""variable_name"": ""SEXPR"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""8633"", ""weighted_frequency"": ""12292787"", ""percent"": ""40.0""}, {""variable_name"": ""SEXPR"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""SEXPR"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""SEXPR"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}]"
PRTYPEGR,1.0,26,,Type of partner the respondent has within the household.,,PHSDFLG=1,"Response categories were abbreviated due to space restrictions.
Full text is as follows:
1 Respondent has an opposite sex married spouse in the household
2 Respondent has an opposite sex common-law partner in the household","General Social Survey, Caregiving and Care Receiving, 2018, derived from RSR_05.","[{""variable_name"": ""PRTYPEGR"", ""label"": ""spouse in the ..."", ""code"": ""1"", ""frequency"": ""9576"", ""weighted_frequency"": ""14554564"", ""percent"": ""47.3""}, {""variable_name"": ""PRTYPEGR"", ""label"": ""common-lawpartner in the ..."", ""code"": ""2"", ""frequency"": ""1889"", ""weighted_frequency"": ""3644273"", ""percent"": ""11.8""}, {""variable_name"": ""PRTYPEGR"", ""label"": ""spouse/partner in the household"", ""code"": ""3"", ""frequency"": ""160"", ""weighted_frequency"": ""263561"", ""percent"": ""0.9""}, {""variable_name"": ""PRTYPEGR"", ""label"": ""Valid skip"", ""code"": ""6"", ""frequency"": ""8633"", ""weighted_frequency"": ""12292787"", ""percent"": ""40.0""}, {""variable_name"": ""PRTYPEGR"", ""label"": ""Don't know"", ""code"": ""7"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""PRTYPEGR"", ""label"": ""Refusal"", ""code"": ""8"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}, {""variable_name"": ""PRTYPEGR"", ""label"": ""Not stated"", ""code"": ""9"", ""frequency"": ""0"", ""weighted_frequency"": ""0"", ""percent"": ""0""}]"
