error_type,dimension,group_value,rows,weighted_rows,mean_predicted_probability
false_negative,PRV,10,12,2269.4078,0.540658175945282
false_negative,PRV,11,6,683.5381000000001,0.5730546712875366
false_negative,PRV,12,12,3773.5054,0.555396318435669
false_negative,PRV,13,6,920.0781,0.5250447392463684
false_negative,PRV,24,16,37686.116200000004,0.5568617582321167
false_negative,PRV,35,27,59803.57269999999,0.576667845249176
false_negative,PRV,46,10,12817.3725,0.5456258058547974
false_negative,PRV,47,12,7439.810600000001,0.5583064556121826
false_negative,PRV,48,13,23725.3103,0.5856913924217224
false_negative,PRV,59,15,16951.2316,0.5704402923583984
false_negative,HAP_10C,1.0,102,131717.03949999998,0.5628491044044495
false_negative,HAP_10C,2.0,22,27468.525800000003,0.5681371092796326
false_negative,HAP_10C,3.0,1,80.2326,0.3284882605075836
false_negative,HAP_10C,4.0,1,1324.0715,0.6083433032035828
false_negative,HAP_10C,5.0,1,3218.9686,0.5999228954315186
false_negative,HAP_10C,6.0,2,2261.1053,0.550611674785614
false_negative,TTLINCG1,1.0,39,76426.6164,0.5653542876243591
false_negative,TTLINCG1,2.0,36,42377.66069999999,0.5524438619613647
false_negative,TTLINCG1,3.0,25,20226.816100000004,0.5814028382301331
false_negative,TTLINCG1,4.0,9,5870.235900000001,0.5480948686599731
false_negative,TTLINCG1,5.0,3,1933.183,0.5334919095039368
false_negative,TTLINCG1,6.0,7,6631.3513,0.6000210642814636
false_negative,TTLINCG1,7.0,10,12604.079899999999,0.5342251658439636
false_negative,SEX,1,74,88707.95629999999,0.5546286702156067
false_negative,SEX,2,55,77361.98699999998,0.5728194713592529
false_negative,AGEGR10,1.0,17,62785.042799999996,0.559395968914032
false_negative,AGEGR10,2.0,11,22169.8079,0.5702465772628784
false_negative,AGEGR10,3.0,22,22773.867899999997,0.5621726512908936
false_negative,AGEGR10,4.0,22,17438.6545,0.564359724521637
false_negative,AGEGR10,5.0,29,20587.100400000007,0.5569368004798889
false_negative,AGEGR10,6.0,17,11790.7659,0.5691969990730286
false_negative,AGEGR10,7.0,11,8524.7039,0.5594480037689209
false_positive,PRV,10,8,3623.1569,0.7674044966697693
false_positive,PRV,11,14,2145.8516000000004,0.7240575551986694
false_positive,PRV,12,18,5216.154500000001,0.7380537390708923
false_positive,PRV,13,21,5444.171399999999,0.7361283302307129
false_positive,PRV,24,19,26497.1073,0.7196366786956787
false_positive,PRV,35,34,69018.94609999999,0.750663161277771
false_positive,PRV,46,14,8777.357300000001,0.7476922869682312
false_positive,PRV,47,14,3964.1638,0.7056935429573059
false_positive,PRV,48,15,15865.6564,0.7156919240951538
false_positive,PRV,59,24,22874.099000000002,0.7341791987419128
false_positive,HAP_10C,1.0,101,87273.1732,0.7089317440986633
false_positive,HAP_10C,2.0,38,38235.575699999994,0.7465764284133911
false_positive,HAP_10C,3.0,19,17657.71,0.7806430459022522
false_positive,HAP_10C,4.0,6,5282.067,0.7750742435455322
false_positive,HAP_10C,5.0,7,8665.4408,0.7760963439941406
false_positive,HAP_10C,6.0,10,6312.6976,0.8031083345413208
false_positive,TTLINCG1,1.0,38,40124.23740000001,0.7280469536781311
false_positive,TTLINCG1,2.0,48,45969.0664,0.7255173325538635
false_positive,TTLINCG1,3.0,35,22010.444500000005,0.7322823405265808
false_positive,TTLINCG1,4.0,18,18111.3955,0.756739616394043
false_positive,TTLINCG1,5.0,17,9442.5274,0.7158023715019226
false_positive,TTLINCG1,6.0,14,11107.5667,0.7663370370864868
false_positive,TTLINCG1,7.0,11,16661.426400000004,0.7526597380638123
false_positive,SEX,1,60,46661.0386,0.726762592792511
false_positive,SEX,2,121,116765.62570000002,0.7381212115287781
false_positive,AGEGR10,1.0,7,15497.114900000002,0.7161098718643188
false_positive,AGEGR10,2.0,14,30932.3914,0.7052446007728577
false_positive,AGEGR10,3.0,17,21049.1705,0.7279486060142517
false_positive,AGEGR10,4.0,32,28234.8897,0.7616292238235474
false_positive,AGEGR10,5.0,47,29535.434800000006,0.7365886569023132
false_positive,AGEGR10,6.0,49,28822.3358,0.7311451435089111
false_positive,AGEGR10,7.0,15,9355.3272,0.7226129770278931
