variable,family,raw_values_seen,values_mapped_to_nan,values_mapped_to_0,values_mapped_to_1,notes
WGHT_PER,weight,20092 distinct values; min=10.3541; max=30702.1052,,,,No explicit reserve mapping in code.
CRH_20,target,"1, 2, 6, 9","6, 7, 8, 9",2,1,6=off-path/structural (inferred); 7=don't know (inferred); 8=refusal (inferred); 9=not stated (inferred)
CRH_30,target,"1, 2, 6, 9","6, 7, 8, 9",2,1,6=off-path/structural (inferred); 7=don't know (inferred); 8=refusal (inferred); 9=not stated (inferred)
CRH_60,target,"1, 2, 6, 9","6, 7, 8, 9",2,1,6=off-path/structural (inferred); 7=don't know (inferred); 8=refusal (inferred); 9=not stated (inferred)
AGEGR10,ordinal predictor,"1, 2, 3, 4, 5, 6, 7","96, 97, 98, 99",,,96=off-path/structural (inferred); 97=don't know (inferred); 98=refusal (inferred); 99=not stated (inferred)
SEX,nominal predictor,"1, 2","6, 7, 8, 9",,,6=off-path/structural (inferred); 7=don't know (inferred); 8=refusal (inferred); 9=not stated (inferred)
MARSTAT,nominal predictor,"1, 2, 3, 4, 5, 6, 99","96, 97, 98, 99",,,96=off-path/structural (inferred); 97=don't know (inferred); 98=refusal (inferred); 99=not stated (inferred)
LIVARR08,nominal predictor,"1, 2, 3, 4, 5, 6, 7, 8","96, 97, 98, 99",,,96=off-path/structural (inferred); 97=don't know (inferred); 98=refusal (inferred); 99=not stated (inferred)
PRV,nominal predictor,"10, 11, 12, 13, 24, 35, 46, 47, 48, 59","96, 97, 98, 99",,,96=off-path/structural (inferred); 97=don't know (inferred); 98=refusal (inferred); 99=not stated (inferred)
PAR_10,numeric/count predictor,28 distinct values; min=0.0000; max=999.0000,"996, 997, 998, 999",,,996=off-path/structural (inferred); 997=don't know (inferred); 998=refusal (inferred); 999=not stated (inferred)
HAP_10C,ordinal predictor,"0, 1, 2, 3, 4, 5, 6, 96, 99","96, 97, 98, 99",,,96=off-path/structural (inferred); 97=don't know (inferred); 98=refusal (inferred); 99=not stated (inferred)
COW_10,nominal predictor,"1, 2, 3, 6, 9","6, 7, 8, 9",,,6=off-path/structural (inferred); 7=don't know (inferred); 8=refusal (inferred); 9=not stated (inferred)
