dimension,group_value,rows,weighted_rows,weighted_accuracy,weighted_recall
PRV,10,64,16642.9389,0.6459420577455823,0.7646146114785838
PRV,11,50,6308.698299999999,0.5515097464717881,0.737785946516762
PRV,12,111,34923.8428,0.7425924761063236,0.8371359702815588
PRV,13,76,17845.418500000003,0.6433678761862602,0.9015664761394336
PRV,24,125,204391.7116,0.6859793237330081,0.7342181361974434
PRV,35,247,441015.0422,0.7078954083802449,0.8220823645262999
PRV,46,97,51295.702,0.5790148305212784,0.657036230271711
PRV,47,94,40537.5607,0.7186812871056645,0.7246861184576271
PRV,48,109,117979.42139999999,0.6644248104441035,0.7367896237478684
PRV,59,145,154805.747,0.7427399733422042,0.8120631577215941
HAP_10C,1.0,639,612706.8722000001,0.6425856757348116,0.6776085919260927
HAP_10C,2.0,201,213757.0025,0.6926224604033733,0.8079390079776356
HAP_10C,3.0,96,89391.64660000001,0.8015704679949367,0.9988542806135648
HAP_10C,4.0,40,36819.4199,0.8205800493885566,0.9580157692943216
HAP_10C,5.0,46,44475.312699999995,0.7327863779134263,0.9101094634186614
HAP_10C,6.0,96,88595.8295,0.9032256603004096,0.9711819142680638
TTLINCG1,1.0,247,348592.5662,0.6656530715198024,0.7018639298749829
TTLINCG1,2.0,296,265104.0571,0.6667469820476015,0.7664794965210023
TTLINCG1,3.0,218,180384.4079,0.7658486058095713,0.8478284362575004
TTLINCG1,4.0,130,103377.2133,0.7680182060005286,0.9112842390651555
TTLINCG1,5.0,84,59427.4623,0.8085782236068997,0.9570265347831756
TTLINCG1,6.0,60,48186.643800000005,0.6318706471107248,0.7946432079611115
TTLINCG1,7.0,83,80673.73279999998,0.6372362442611559,0.763216527531897
SEX,1,420,437672.2540000001,0.6907069304420654,0.6930001366116842
SEX,2,698,648073.8294,0.7004544792686238,0.8383131008903423
