transformed_feature_name,base_feature
numeric__PAR_10,PAR_10
numeric__NWE_110,NWE_110
numeric__AGEGR10,AGEGR10
numeric__HAP_10C,HAP_10C
numeric__UHW_16GR,UHW_16GR
numeric__TTLINCG1,TTLINCG1
numeric__FAMINCG1,FAMINCG1
numeric__FWA_134,FWA_134
numeric__FWA_137,FWA_137
numeric__APR_10,APR_10
numeric__APR_20,APR_20
numeric__APR_30,APR_30
numeric__APR_40,APR_40
numeric__APR_50,APR_50
numeric__APR_60,APR_60
numeric__APR_70,APR_70
numeric__APR_80,APR_80
numeric__ARV_10,ARV_10
numeric__ARX_10,ARX_10
numeric__CHC_100,CHC_100
nominal__SEX_1,SEX_1
nominal__SEX_2,SEX_2
nominal__MARSTAT_1,MARSTAT_1
nominal__MARSTAT_2,MARSTAT_2
nominal__MARSTAT_3,MARSTAT_3
nominal__MARSTAT_4,MARSTAT_4
nominal__MARSTAT_5,MARSTAT_5
nominal__MARSTAT_6,MARSTAT_6
nominal__MARSTAT_infrequent_sklearn,MARSTAT_infrequent_sklearn
nominal__LIVARR08_1,LIVARR08_1
nominal__LIVARR08_2,LIVARR08_2
nominal__LIVARR08_3,LIVARR08_3
nominal__LIVARR08_5,LIVARR08_5
nominal__LIVARR08_6,LIVARR08_6
nominal__LIVARR08_7,LIVARR08_7
nominal__LIVARR08_8,LIVARR08_8
nominal__LIVARR08_infrequent_sklearn,LIVARR08_infrequent_sklearn
nominal__PRV_10,PRV_10
nominal__PRV_11,PRV_11
nominal__PRV_12,PRV_12
nominal__PRV_13,PRV_13
nominal__PRV_24,PRV_24
nominal__PRV_35,PRV_35
nominal__PRV_46,PRV_46
nominal__PRV_47,PRV_47
nominal__PRV_48,PRV_48
nominal__PRV_59,PRV_59
nominal__COW_10_1,COW_10_1
nominal__COW_10_2,COW_10_2
nominal__COW_10_Missing,COW_10_Missing
nominal__COW_10_infrequent_sklearn,COW_10_infrequent_sklearn
nominal__WTI_110_1,WTI_110_1
nominal__WTI_110_2,WTI_110_2
nominal__WTI_110_3,WTI_110_3
nominal__WTI_110_Missing,WTI_110_Missing
nominal__UCA_10_1,UCA_10_1
nominal__UCA_10_2,UCA_10_2
nominal__UCA_10_Missing,UCA_10_Missing
