variable,meaning,family,used_in_model,raw_coding_summary,cleaned_coding,missing_pct_after_cleaning,weighted_missing_pct_after_cleaning,notes
CRH_20,Worried or anxious,target,False,"1, 2, 9","1 -> 1, 2 -> 0, reserve codes -> NaN, then distress_score/distress_flag derived",0.004116699480937892,0.0045651704303998454,
CRH_30,Overwhelmed,target,False,"1, 2, 9","1 -> 1, 2 -> 0, reserve codes -> NaN, then distress_score/distress_flag derived",0.01736173259352067,0.018105075463606804,
CRH_60,Depressed,target,False,"1, 2, 9","1 -> 1, 2 -> 0, reserve codes -> NaN, then distress_score/distress_flag derived",0.025953105423304097,0.028376601643965115,
AGEGR10,Age group,ordinal predictor,True,"1, 2, 3, 4, 5, 6, 7","reserve codes -> NaN, numeric/ordinal preserved",0.0,0.0,
SEX,Sex,nominal predictor,True,"1, 2","reserve codes -> NaN, values cast to string/object, Missing category added in encoder",0.0,0.0,
MARSTAT,Marital status,nominal predictor,True,"1, 2, 3, 4, 5, 6, 99","reserve codes -> NaN, values cast to string/object, Missing category added in encoder",0.001431895471630571,0.0017809112614592159,
LIVARR08,Living arrangement,nominal predictor,True,"1, 2, 3, 4, 5, 6, 7, 8","reserve codes -> NaN, values cast to string/object, Missing category added in encoder",0.0,0.0,
PRV,Province,nominal predictor,True,"10, 11, 12, 13, 24, 35, 46, 47, 48, 59","reserve codes -> NaN, values cast to string/object, Missing category added in encoder",0.0,0.0,
PAR_10,People helped,numeric/count predictor,True,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 20, 22, 24, 25, 30, 32, 40, 60","reserve codes -> NaN, numeric/ordinal preserved",0.0,0.0,
HAP_10C,Weekly care hours,ordinal predictor,True,"1, 2, 3, 4, 5, 6","reserve codes -> NaN, numeric/ordinal preserved",0.0,0.0,
COW_10,Class of worker,nominal predictor,True,"1, 2, 3, 6, 9","reserve codes -> NaN, values cast to string/object, Missing category added in encoder",0.3610166457848577,0.311285200313449,
WTI_110,Work tenure indicator,nominal predictor,True,"1, 2, 3, 6, 9","reserve codes -> NaN, values cast to string/object, Missing category added in encoder",0.4750313227134419,0.4322119223942434,
NWE_110,Weeks worked,numeric/count predictor,True,54 distinct values; min=1.0000; max=99.0000,"reserve codes -> NaN, numeric/ordinal preserved",0.36226955432253444,0.31559720831692856,
UHW_16GR,Usual hours worked,ordinal predictor,True,"1, 2, 3, 4, 6, 9","reserve codes -> NaN, numeric/ordinal preserved",0.3601217111150886,0.3135470596376492,
UCA_10,Work flexibility indicator,nominal predictor,True,"1, 2, 6, 9","reserve codes -> NaN, values cast to string/object, Missing category added in encoder",0.35224628602112046,0.3088863719490176,
FWA_134,Employer family-care leave,binary predictor,True,"1, 2, 6, 9","1 -> 1, 2 -> 0, reserve codes -> NaN",0.48988723823160907,0.44681479227615734,
FWA_137,Employer telework option,binary predictor,True,"1, 2, 6, 9","1 -> 1, 2 -> 0, reserve codes -> NaN",0.5645247896903526,0.5319960877182126,
APR_10,APR_10,binary predictor,True,"1, 2, 9","1 -> 1, 2 -> 0, reserve codes -> NaN",0.0008949346697691068,0.0010046233678873636,
