feature,mean_abs_shap
OAC_20,0.45422491431236267
SEX,0.24604952335357666
APR_70,0.23120327293872833
AGEGR10,0.20068979263305664
HAP_10C,0.19958555698394775
APR_50,0.17217107117176056
LIVARR08,0.15396460890769958
APR_60,0.14920911192893982
APR_40,0.13311229646205902
APR_20,0.1273716390132904
PRV,0.12355511635541916
ARX_40,0.11672349274158478
RES_10,0.10666893422603607
FAMINCG1,0.09379363059997559
APR_80,0.08960925787687302
CHC_100,0.07631514966487885
UHW_16GR,0.06588646024465561
NWE_110,0.062042199075222015
ARX_10,0.05951350927352905
MARSTAT,0.05657549202442169
PAR_10,0.05609647557139397
ARV_10,0.05597757548093796
TTLINCG1,0.053713493049144745
FWA_137,0.036850880831480026
UCA_10,0.030111033469438553
WTI_110,0.02865530736744404
CHC_110K,0.028513260185718536
ARV_40,0.028255600482225418
FWA_134,0.026293080300092697
COW_10,0.024164902046322823
APR_30,0.018865562975406647
APR_10,0.017935192212462425
ACD_80,0.01185076404362917
ACD_90,0.008459946140646935
CHC_110S,0.004871104843914509
