bin,weighted_count,mean_predicted_probability,observed_rate
"(0.109, 0.447]",149803.6828,0.3140224155536847,0.4520644521831475
"(0.447, 0.547]",97083.4429,0.5013316599512064,0.4626632066012155
"(0.547, 0.612]",116938.2595,0.5766229828376337,0.5407663699663667
"(0.612, 0.682]",103968.09330000001,0.6445725762570511,0.6983949459425165
"(0.682, 0.744]",97317.59610000001,0.7109032082121401,0.7804878207426251
"(0.744, 0.789]",108536.0999,0.7657497048432178,0.7204389900875735
"(0.789, 0.828]",97026.98690000002,0.8076319581867053,0.9006250136373142
"(0.828, 0.858]",96484.8163,0.8406013799591332,0.854524620160364
"(0.858, 0.888]",114893.8726,0.8720331532065588,0.8976802127566199
"(0.888, 0.973]",103693.23310000001,0.9202720093604799,0.885435794170449
