feature,mean_abs_shap
APR_70,0.22542666
APR_60,0.1733961
SEX,0.1470236
ARX_10,0.113660604
HAP_10C,0.11316969
APR_50,0.09719529
APR_40,0.082683474
APR_20,0.07572277
LIVARR08,0.059366744
AGEGR10,0.03079445
PRV,0.022458013
NWE_110,0.02093797
ARV_10,0.019762222
APR_80,0.018732477
FWA_137,0.0084988205
COW_10,0.007893344
UHW_16GR,0.007816031
FWA_134,0.0039776643
APR_30,0.0037982215
PAR_10,0.0035007596
CHC_100,0.0034996765
TTLINCG1,0.0027859984
FAMINCG1,0.0025102647
MARSTAT,0.0019510323
UCA_10,0.0014848858
APR_10,0.0011143932
WTI_110,0.0
