PUMFID,WGHT_PER,PRV,HAP_10C,TTLINCG1,PRA_10GR,predicted_probability,predicted_label,risk_band
3256.0,532.182,British Columbia,50 hours or more,"Less than $20,000",Missing,0.9733998,1,Very high
1935.0,1042.7428,Ontario,40 to 49 hours,"$40,000 to $59,999",Missing,0.97209555,1,Very high
8382.0,715.5406,Saskatchewan,50 hours or more,"$60,000 to $79,999",Missing,0.96980226,1,Very high
15702.0,276.3149,Nova Scotia,50 hours or more,"$20,000 to $39,999",Missing,0.96871424,1,Very high
17789.0,3545.1426,Ontario,50 hours or more,"Less than $20,000",Missing,0.9678413,1,Very high
15996.0,1293.6241,British Columbia,20 to 29 hours,"$80,000 to $99,999",Missing,0.9673592,1,Very high
546.0,1106.6172,Nova Scotia,50 hours or more,"Less than $20,000",Missing,0.9662231,1,Very high
4815.0,93.9511,New Brunswick,20 to 29 hours,"$80,000 to $99,999",Missing,0.9660868,1,Very high
16170.0,544.0197,Nova Scotia,50 hours or more,"$80,000 to $99,999",Missing,0.9658152,1,Very high
5305.0,4100.2133,Ontario,50 hours or more,"Less than $20,000",Arthritis,0.9656397,1,Very high
17749.0,854.1268,Alberta,20 to 29 hours,"$40,000 to $59,999",Missing,0.96462303,1,Very high
4974.0,1080.4132,British Columbia,20 to 29 hours,"$60,000 to $79,999",Missing,0.9645344,1,Very high
9812.0,2783.6908,Ontario,50 hours or more,"$20,000 to $39,999",Missing,0.9641698,1,Very high
4127.0,1779.5766,Ontario,50 hours or more,"Less than $20,000",Missing,0.964124,1,Very high
19869.0,226.516,Saskatchewan,20 to 29 hours,"$20,000 to $39,999",Missing,0.9640639,1,Very high
14828.0,2979.5278,Ontario,50 hours or more,"Less than $20,000",Missing,0.9638568,1,Very high
1593.0,1218.8148,British Columbia,30 to 39 hours,"Less than $20,000",Missing,0.9636367,1,Very high
14049.0,675.7344,Manitoba,30 to 39 hours,"$60,000 to $79,999",Missing,0.9636002,1,Very high
15343.0,1042.6588,Alberta,40 to 49 hours,"$20,000 to $39,999",Missing,0.9633566,1,Very high
13053.0,1909.1076,Ontario,50 hours or more,"$60,000 to $79,999",Missing,0.9632772,1,Very high
4300.0,294.8757,Manitoba,30 to 39 hours,"$80,000 to $99,999",Missing,0.9628514,1,Very high
8410.0,4575.0962,Ontario,20 to 29 hours,"Less than $20,000",Other,0.9628232,1,Very high
5485.0,1530.1319,Ontario,40 to 49 hours,"$100,000 to $119,999",Missing,0.96250176,1,Very high
15452.0,121.3769,Newfoundland and Labrador,50 hours or more,"$20,000 to $39,999",Missing,0.9616536,1,Very high
6970.0,3065.4134,British Columbia,50 hours or more,"$40,000 to $59,999",Missing,0.9616174,1,Very high
4727.0,2145.1742,Ontario,20 to 29 hours,"$20,000 to $39,999",Missing,0.96079564,1,Very high
257.0,2424.4018,Quebec,30 to 39 hours,"$80,000 to $99,999",Missing,0.96061206,1,Very high
11939.0,148.6758,Manitoba,20 to 29 hours,"Less than $20,000",Missing,0.9605588,1,Very high
255.0,1971.3098,Ontario,40 to 49 hours,"$60,000 to $79,999",Other,0.96035415,1,Very high
17696.0,251.8525,Nova Scotia,50 hours or more,"$40,000 to $59,999",Other,0.9597957,1,Very high
3576.0,147.7266,Newfoundland and Labrador,50 hours or more,"$40,000 to $59,999",Missing,0.95970666,1,Very high
19038.0,4428.9381,Quebec,50 hours or more,"Less than $20,000",Missing,0.9596079,1,Very high
2411.0,275.4939,Prince Edward Island,40 to 49 hours,"$40,000 to $59,999",Missing,0.9587159,1,Very high
19193.0,1406.1111,British Columbia,50 hours or more,"$40,000 to $59,999",Missing,0.9583916,1,Very high
18925.0,2873.152,Ontario,20 to 29 hours,"$20,000 to $39,999",Missing,0.9580152,1,Very high
1059.0,579.6423,Saskatchewan,40 to 49 hours,"$60,000 to $79,999",Missing,0.9577087,1,Very high
5524.0,7867.9398,Ontario,40 to 49 hours,"Less than $20,000",Missing,0.95763665,1,Very high
14465.0,3585.6757,Ontario,20 to 29 hours,"$20,000 to $39,999",Missing,0.9574628,1,Very high
12976.0,1900.0992,Ontario,50 hours or more,"$20,000 to $39,999",Missing,0.95617706,1,Very high
6423.0,111.4945,Nova Scotia,20 to 29 hours,"$20,000 to $39,999",Missing,0.95616853,1,Very high
8433.0,353.972,Manitoba,10 to 19 hours,"$80,000 to $99,999",Missing,0.95605135,1,Very high
16612.0,2146.4569,British Columbia,30 to 39 hours,"$20,000 to $39,999",Missing,0.9557002,1,Very high
17078.0,944.549,British Columbia,50 hours or more,"$20,000 to $39,999",Missing,0.9553252,1,Very high
14145.0,248.4883,Saskatchewan,50 hours or more,"$40,000 to $59,999",Missing,0.9552634,1,Very high
1038.0,1766.8178,Quebec,50 hours or more,"$40,000 to $59,999",Missing,0.9551769,1,Very high
719.0,808.988,British Columbia,20 to 29 hours,"$40,000 to $59,999",Missing,0.95507824,1,Very high
9743.0,780.3082,Ontario,50 hours or more,"$20,000 to $39,999",Missing,0.9550268,1,Very high
4993.0,269.1197,New Brunswick,20 to 29 hours,"$100,000 to $119,999",Injury from an accident,0.95453846,1,Very high
11769.0,336.501,Saskatchewan,40 to 49 hours,"$100,000 to $119,999",Missing,0.95330715,1,Very high
12975.0,107.1376,Newfoundland and Labrador,20 to 29 hours,"$20,000 to $39,999",Mental illness,0.9530012,1,Very high
14493.0,2068.8774,Ontario,30 to 39 hours,"$60,000 to $79,999",Missing,0.9528873,1,Very high
1342.0,4897.7985,Ontario,50 hours or more,"$20,000 to $39,999",Back problems,0.95285344,1,Very high
3241.0,154.6996,Newfoundland and Labrador,20 to 29 hours,"$80,000 to $99,999",Missing,0.95258075,1,Very high
16668.0,1495.2858,Ontario,50 hours or more,"$40,000 to $59,999",Missing,0.9525152,1,Very high
9594.0,212.0387,Nova Scotia,20 to 29 hours,"$40,000 to $59,999",Missing,0.9523066,1,Very high
870.0,535.4981,Manitoba,30 to 39 hours,"Less than $20,000",Missing,0.95223826,1,Very high
5858.0,943.1044,Alberta,50 hours or more,"$40,000 to $59,999",Missing,0.9509471,1,Very high
3647.0,608.7871,British Columbia,10 to 19 hours,"Less than $20,000",Missing,0.95091385,1,Very high
6393.0,462.3048,Nova Scotia,20 to 29 hours,"$40,000 to $59,999",Missing,0.9507832,1,Very high
225.0,783.4853,British Columbia,30 to 39 hours,"$20,000 to $39,999",Missing,0.950464,1,Very high
15807.0,1605.1058,Ontario,40 to 49 hours,"$40,000 to $59,999",Missing,0.95023346,1,Very high
12408.0,3329.7975,Alberta,50 hours or more,"$120,000 or more",Missing,0.9495411,1,Very high
17291.0,1369.8697,Ontario,50 hours or more,"$20,000 to $39,999",Missing,0.9494846,1,Very high
8570.0,187.0297,Nova Scotia,20 to 29 hours,"$60,000 to $79,999",Missing,0.9494696,1,Very high
17045.0,1783.9387,Saskatchewan,20 to 29 hours,"Less than $20,000",Other,0.94915843,1,Very high
