PRV,Low,Moderate,High,Very high
Alberta,71960.7867,72930.624,156440.1377,346427.8522
British Columbia,27294.9141,38200.1678,139284.5196,515571.4458
Manitoba,20046.755699999998,43039.9859,57418.9203,111133.9631
New Brunswick,6914.8766,22750.1655,29819.5053,60648.7158
Newfoundland and Labrador,5211.9318,9824.1661,21105.6083,47157.2871
Nova Scotia,9447.995,20330.9048,46410.9242,95298.9148
Ontario,184861.6813,302292.4284,585477.9693,1341905.2934
Prince Edward Island,1764.772,4557.3585,5990.3702,14487.9252
Quebec,10519.1676,116861.4405,355051.3439,578490.507
Saskatchewan,19486.1684,25113.2704,44420.6738,85890.0196
