PRA_10GR,Low,Moderate,High,Very high
Aging or frailty,0.0,4804.8507,14749.6795,18460.2925
Alzheimer's disease or dementia,0.0,1518.24,0.0,5205.5003
Arthritis,126.7705,3003.3460999999998,4797.8394,41247.9695
Back problems,0.0,3424.4814,12447.8743,22087.2687
Cancer,0.0,2834.0607,10757.9545,18122.6223
Cardiovascular disease,477.57189999999997,3897.779,4681.3688,12879.4811
Injury from an accident,1037.4793,4722.7329,16391.763,28044.113400000002
Mental illness,1575.9832999999999,16715.137,34838.883,73425.8114
Missing,347099.61460000003,583504.9384,1227401.0703,2751058.0339
Other,7191.6296,31474.9457,115353.5398,226480.8309
