dimension,group_value,feature,mean_abs_shap
PRV,Ontario,APR_70,0.23332016170024872
PRV,Ontario,APR_60,0.17216457426548004
PRV,Ontario,SEX,0.14380696415901184
PRV,Ontario,HAP_10C,0.1189531609416008
PRV,Ontario,ARX_10,0.10468148440122604
PRV,Quebec,APR_70,0.22840474545955658
PRV,Quebec,APR_60,0.18009158968925476
PRV,Quebec,SEX,0.15082165598869324
PRV,Quebec,ARX_10,0.12410152703523636
PRV,Quebec,HAP_10C,0.1046101376414299
PRV,British Columbia,APR_70,0.2096681445837021
PRV,British Columbia,APR_60,0.16465488076210022
PRV,British Columbia,SEX,0.15149983763694763
PRV,British Columbia,ARX_10,0.11475854367017746
PRV,British Columbia,HAP_10C,0.10901029407978058
HAP_10C,<10 hours,APR_70,0.22552800178527832
HAP_10C,<10 hours,APR_60,0.18663743138313293
HAP_10C,<10 hours,SEX,0.1591583490371704
HAP_10C,<10 hours,ARX_10,0.13073697686195374
HAP_10C,<10 hours,APR_50,0.0874512791633606
HAP_10C,10-19 hours,APR_70,0.2263754904270172
HAP_10C,10-19 hours,APR_60,0.16942429542541504
HAP_10C,10-19 hours,SEX,0.1598832905292511
HAP_10C,10-19 hours,ARX_10,0.10212013870477676
HAP_10C,10-19 hours,APR_50,0.09411919116973877
HAP_10C,20-29 hours,APR_70,0.22135385870933533
HAP_10C,20-29 hours,HAP_10C,0.21162477135658264
HAP_10C,20-29 hours,APR_60,0.1515461951494217
HAP_10C,20-29 hours,SEX,0.115692138671875
HAP_10C,20-29 hours,APR_50,0.11531773209571838
SEX,Female,APR_70,0.21667373180389404
SEX,Female,APR_60,0.17210540175437927
SEX,Female,SEX,0.14240458607673645
SEX,Female,HAP_10C,0.10652492195367813
SEX,Female,APR_50,0.09558583796024323
SEX,Male,APR_70,0.23935575783252716
SEX,Male,APR_60,0.17545005679130554
SEX,Male,SEX,0.1543741673231125
SEX,Male,ARX_10,0.14683113992214203
SEX,Male,HAP_10C,0.12374399602413177
